category,command_name,subcommands,arguments,flags,graphql_operation_used,description,entity,tags
query,linear query,dummy,,"--select <fields|@file>, --format <human|json>",_dummy,,System,
query,linear query,administrable-teams,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",administrableTeams,"All teams you the user can administrate. Administrable teams are teams whose settings the user can change, but to whose issues the user doesn't necessarily have access to.",Team,
query,linear query,agent-activities,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",agentActivities,All agent activities.,AgentActivity,
query,linear query,agent-activity,<id>,"--select <fields|@file>, --format <human|json>",agentActivity,A specific agent activity.,AgentActivity,
query,linear query,agent-session,<id>,"--select <fields|@file>, --format <human|json>",agentSession,A specific agent session.,AgentSession,
query,linear query,agent-session-sandbox,,"--agent-session-id <value>, --select <fields|@file>, --format <human|json>",agentSessionSandbox,[Internal] Retrieves the coding agent sandbox for a given agent session ID.,CodingAgentSandboxPayload,internal
query,linear query,agent-sessions,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",agentSessions,All agent sessions.,AgentSession,
query,linear query,application-info,,"--client-id <value>, --select <fields|@file>, --format <human|json>",applicationInfo,Get basic information for an application.,Application,
query,linear query,archived-teams,,"--select <fields|@file>, --format <human|json>",archivedTeams,[Internal] All archived teams of the organization.,Team,internal
query,linear query,attachment,<id>,"--select <fields|@file>, --format <human|json>",attachment,One specific issue attachment. [Deprecated] 'url' can no longer be used as the 'id' parameter. Use 'attachmentsForUrl' instead,Attachment,
query,linear query,attachment-issue,<id>,"--select <fields|@file>, --format <human|json>",attachmentIssue,"Query an issue by its associated attachment, and its id.",Issue,
query,linear query,attachment-sources,,"--team-id <value>, --select <fields|@file>, --format <human|json>",attachmentSources,[Internal] Get a list of all unique attachment sources in the workspace.,Attachment,internal
query,linear query,attachments,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",attachments,"All issue attachments. To get attachments for a given URL, use `attachmentsForURL` query.",Attachment,
query,linear query,attachments-for-url,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentsForURL,Returns issue attachments for a given `url`.,Attachment,
query,linear query,audit-entries,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",auditEntries,All audit log entries.,AuditEntry,
query,linear query,audit-entry-types,,"--select <fields|@file>, --format <human|json>",auditEntryTypes,List of audit entry types.,AuditEntry,
query,linear query,authentication-sessions,,"--select <fields|@file>, --format <human|json>",authenticationSessions,User's active sessions.,AuthenticationSessionResponse,
